speechiness,instrumentalness,acousticness,energy,danceability,valence,id,cluster
0.277,0.0,0.0103,0.526,0.818,0.531,0UMqDSXk4xvoCNRrIEPf7T,2
0.0464,2.37e-05,0.189,0.671,0.684,0.156,2Hh3ETdQKrmSI3QS0hme7g,0
0.204,2.18e-06,0.00424,0.487,0.852,0.256,0T0vseuNB4KC8opkrCLNbc,2
0.0612,0.0,0.0168,0.636,0.823,0.5,1a7tOEheXeaSNathZW4Gzk,3
0.0438,0.0,0.000113,0.708,0.696,0.287,3QHGfxhjexLaMKGHXagfRs,0
0.317,0.0,0.0864,0.64,0.806,0.716,5gAwpwuchaCGnJLlBMGBzp,2
0.336,6.81e-06,0.696,0.74,0.768,0.532,0yUaLqhsVsguBpoOPL4cO7,2
0.116,0.0,0.0623,0.63,0.749,0.445,2KLwPaRDOB87XOYAT2fgxh,3
0.414,0.0,0.0393,0.613,0.493,0.373,2UQ2oUbHiB8wWYCE42JX0k,2
0.207,0.0,0.0351,0.916,0.756,0.458,7CpXFEjLntpr4GdOhTtFEv,2
0.432,0.0,0.0901,0.506,0.87,0.347,3084aAzars6DR26nCWO9Ep,2
0.0564,0.0,0.0135,0.699,0.366,0.062,1hnNjI1da0xqGhR81JFVdx,0
0.275,0.0,0.115,0.423,0.884,0.259,5JS1gz9zP4GTy0LZYvSeUK,2
0.186,5.47e-05,0.031,0.609,0.785,0.326,5B40Td13cDQ4adeAiLf8Z4,2
0.284,0.0,0.0392,0.603,0.855,0.494,6yDPFrHZLQbQa9Itd2J4Gp,2
0.24,0.0,0.0537,0.769,0.679,0.424,3fNMgjG8yXaSam46swhz7w,2
0.414,0.0,0.0432,0.882,0.765,0.439,5c2IvJeaFx4m2DmOR1iryD,2
0.177,0.0,0.338,0.636,0.703,0.496,6DswwzQlABrNoqjNydtvuX,3
0.345,0.0,0.0906,0.766,0.519,0.449,4EvFzNPsp8iyiEO9LDHopv,2
0.216,1.7e-05,0.172,0.733,0.799,0.753,7k5lDslyLbcykzUOPGEdKR,2
0.0587,0.0,0.579,0.507,0.912,0.725,3RKjTYlQrtLXCq5ncswBPp,3
0.0579,0.00136,0.000502,0.63,0.84,0.14,5R5UNKWsmMPpFq5JHK93Fw,0
0.0979,1.89e-05,0.0741,0.761,0.94,0.414,53acd3PVcgGCux58YABBr5,3
0.109,0.0,0.00377,0.726,0.763,0.327,6aGpM4DXts4pdRhVKbRYuk,0
0.0535,6.76e-05,0.0431,0.642,0.839,0.211,65nmqAEqW7CJIkXOIkxyg8,0
0.064,0.00418,0.0339,0.554,0.611,0.233,21wkixaulehrFctAvEhvQl,0
0.279,0.0,0.0255,0.524,0.857,0.379,4ZyivnzrvDWRjihgqxvXK8,2
0.35,2.68e-06,0.194,0.546,0.603,0.667,6clDsO8HwhHEgJDDp88VdL,2
0.242,8.79e-06,0.21,0.628,0.767,0.798,6IyoLWzljeR3ldQo4KWHT6,2
0.298,0.0,0.0369,0.633,0.894,0.578,4lxTmHPgoRWwM9QisWobJL,2
0.0471,1.71e-05,0.194,0.501,0.821,0.385,46DB28jumopDyMuYhjoydV,4
0.064,0.000494,0.241,0.542,0.806,0.14,4CCrZzRdeWYrWJ0DoN4XCa,4
0.0461,0.0,0.105,0.726,0.675,0.671,6HBRLaSQ7NB8MNlaqzYen1,3
0.0287,0.0,0.00799,0.75,0.618,0.619,4qbibbQ1yK0rPl0JUJS0bz,3
0.0312,0.00549,7.02e-05,0.768,0.479,0.576,6Tm4Io4ct4w14nB1EUzsY3,0
0.0502,0.0,0.679,0.434,0.436,0.447,2fBvSCdG3lDjImqJvnYtvq,4
0.0311,0.0,0.149,0.489,0.532,0.32,3qXsX3mYSsD1DmAvc3PE3N,0
0.0352,0.0,0.695,0.455,0.738,0.441,1brnLTvarI9D1hLP6z2Ar8,4
0.0633,0.0,0.00408,0.869,0.655,0.541,6Z1bV93BP95h4YjIavrQPf,3
0.029,7.23e-06,0.126,0.488,0.38,0.268,3fl4zil6HJ0N1FL3YIRwdC,0
0.0333,1.03e-06,0.0425,0.892,0.602,0.709,3sT4lmGZF9Gy6XaLYvwH7A,3
0.0275,0.0,0.577,0.568,0.582,0.394,4686eQ81DEswHa90bcdlC9,4
0.0329,0.0,0.00714,0.874,0.623,0.961,5wtPc1OQ7g1H8FBkwWqbhh,3
0.026,0.0,0.0998,0.617,0.655,0.734,3nei8eHEdiwwSfyoOCHPZI,3
0.0363,1.12e-05,0.0189,0.8,0.645,0.375,5kB6WithhB8Iv08EMNmAbt,0
0.0378,0.0,0.0985,0.727,0.625,0.654,5b4n4Lp2ZAPDGO9nQM5IHR,3
0.0464,0.0,0.167,0.682,0.459,0.887,2DPqR0kuZVjrOF5oxIRYPy,3
0.0333,3.78e-05,0.00528,0.752,0.516,0.482,4aSRUXfKuBbmje0eXNukuL,0
0.0274,0.0,0.00478,0.645,0.485,0.705,1xk2TQgJNtH3FErgICPgmb,3
0.0311,0.0,0.0014,0.833,0.628,0.309,6Awl7JBDQjfm7xkS3LkhDi,0
0.0265,1.45e-06,0.0421,0.466,0.623,0.272,5Jwcv2Le3Klwgrgyqa12ZA,0
0.1,0.0,0.224,0.801,0.522,0.491,6kCFt2ATuMIE5H9zVEJXei,0
0.0311,1.01e-05,0.148,0.632,0.587,0.392,5ZCjp56T8J6d7amJyFSzrI,0
0.0337,5.79e-05,0.176,0.647,0.4,0.274,5AihIu9yF3flkw1jFMyfwW,0
0.0337,0.0,0.0539,0.713,0.639,0.717,7ETjhPaIU4UmHOiimJBZz9,3
0.042,0.0,0.0508,0.881,0.58,0.384,2DvOwcQd7RB5IV7MdlwpvN,0
0.0473,0.0,0.0697,0.866,0.635,0.853,4viFAHmivkYQKkwLvwKOgg,3
0.0425,5.87e-06,0.73,0.598,0.646,0.606,57YkkgxAiusJPMtiSG3w3c,4
0.0325,0.0,0.257,0.632,0.628,0.559,5OLaVCAM2pqg7X9mAM2W8M,3
0.0285,0.0,0.0482,0.873,0.674,0.946,4iy69rTUn8cAY8Q8q9vfOw,3
0.0351,0.0,0.0401,0.868,0.61,0.765,0isqpzdmr2hsKb50uBSCdo,3
0.0282,0.0,0.434,0.579,0.359,0.274,0EAzZ4aKlERuRmAYIXcRX6,4
0.0296,1.72e-06,0.0042,0.913,0.614,0.92,6KGtAlYvgm4W9PoYabFAYE,3
0.0328,0.0,0.0237,0.867,0.516,0.615,1pbUfl4W9KtQ5hNkT6RiXp,3
0.0332,1.93e-05,0.0551,0.633,0.723,0.498,6BWOWBSalJEp7woRZSyiMb,3
0.039,0.00156,0.00481,0.809,0.554,0.462,16Sdmdt7jpibASwEsO0s9j,0
0.039,0.0,0.234,0.901,0.517,0.567,1116cRlf1zVJXVI2fUUwFD,0
0.026,0.00267,0.0379,0.72,0.739,0.892,3knS4WXNNRBd3zkx2v78cx,3
0.0393,0.0,0.454,0.856,0.676,0.965,1jX9wlAgVkAl0fCZqkCI73,3
