danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,38T0tPVZHcPZyhtOcCP7pF,210576,4
0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360,3
0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,2mnXxnrX5vCGolNkaFvVeM,196800,4
0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,1Y3LN4zO1Edc2EluIoSPJN,176440,3
0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,5jQI2r1RdgtuT8S3iG8zFC,202396,4
0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955,4
0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,26b3oVLrRUaaybJulow9kz,184791,5
0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,5Y35SjAfXjjG0sFQ3KOxmm,180853,3
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013,3
0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,1Ame8XTX6QHY0l0ahqUhgv,247067,4
0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1rrqJ9QkOBYJlsZgqqwxgB,185093,4
0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,6dgUya35uo964z7GZXM07g,163648,4
0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822,4
0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638,4
0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,0HqZX76SFLDz2aW8aiqi7G,165265,4
0.73,0.785,8,-6.512,1,0.0554,0.0464,0.0216,0.111,0.649,94.094,1N8TTK1Uoy7UvQNUazfUt5,147875,4
0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717,4
0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,35ovElsgyAtQwYPYnZJECg,196520,4
0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907,4
0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,2SiAcexM2p1yX6joESbehd,174045,4
0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,0vjeOZ3Ft5jvAi9SBFJm1j,182667,4
0.513,0.495,1,-8.454,1,0.45,0.00642,0.0,0.3,0.105,150.035,4MUlNqSrMeFAHA6VpJKMo8,179533,4
0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,0FA4wrjDJvJTTU8AepZTup,163139,4
0.747,0.701,6,-3.694,0,0.0338,0.122,0.0,0.323,0.149,104.995,1CJ8e0zc8uvAmkqdeXrq4u,162305,4
0.462,0.251,4,-12.072,0,0.159,0.414,0.0,0.201,0.137,89.705,1T4k0sw0HldDg004Kw4Oct,167977,3
0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,5BbdKBZO0TH0GhfxUfyhL9,162053,4
0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,5BmB3OaQyYXCqRyN8iR2Yi,123673,4
0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,4WuOWVnAqvEQxgSRrspBgt,207307,4
0.609,0.503,8,-8.407,0,0.393,0.217,2.22e-06,0.121,0.502,168.363,7E68rHH6CrKbBYPfpiCLiQ,200000,4
0.779,0.684,8,-4.963,1,0.108,0.181,0.0,0.0691,0.526,124.034,5ht9obvnnWeW4eoRtPAoQD,174240,4
0.898,0.64,5,-8.796,0,0.255,0.0212,0.0,0.0919,0.68,149.988,2i2qDe3dnTl6maUE31FO7c,153600,4
0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,68Dni7IE4VyPkTOH9mRWHr,292799,4
0.511,0.541,10,-10.1,0,0.421,0.0769,0.0,0.1,0.248,101.228,7hrcHfHWaLhooHzGltlCYB,235711,3
0.603,0.667,10,-8.716,0,0.367,0.0861,0.0,0.0745,0.655,141.561,12Us8e6NFesdkXKf4StU1I,186697,4
0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,0UMqDSXk4xvoCNRrIEPf7T,214594,4
0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,2Hh3ETdQKrmSI3QS0hme7g,199920,4
0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,0T0vseuNB4KC8opkrCLNbc,261825,4
0.823,0.636,11,-7.239,0,0.0612,0.0168,0.0,0.108,0.5,151.978,1a7tOEheXeaSNathZW4Gzk,205893,4
0.696,0.708,9,-4.737,1,0.0438,0.000113,0.0,0.444,0.287,142.026,3QHGfxhjexLaMKGHXagfRs,168161,4
0.806,0.64,11,-7.398,0,0.317,0.0864,0.0,0.201,0.716,160.054,5gAwpwuchaCGnJLlBMGBzp,213206,4
0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,0yUaLqhsVsguBpoOPL4cO7,129362,4
0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,2KLwPaRDOB87XOYAT2fgxh,242027,4
0.493,0.613,1,-6.636,1,0.414,0.0393,0.0,0.128,0.373,156.104,2UQ2oUbHiB8wWYCE42JX0k,197692,4
0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,7CpXFEjLntpr4GdOhTtFEv,169693,4
0.87,0.506,2,-9.415,1,0.432,0.0901,0.0,0.145,0.347,137.921,3084aAzars6DR26nCWO9Ep,187826,4
0.366,0.699,2,-7.468,1,0.0564,0.0135,0.0,0.135,0.062,97.201,1hnNjI1da0xqGhR81JFVdx,169500,4
0.884,0.423,6,-10.181,0,0.275,0.115,0.0,0.0895,0.259,95.753,5JS1gz9zP4GTy0LZYvSeUK,159973,4
0.785,0.609,11,-8.623,0,0.186,0.031,5.47e-05,0.096,0.326,83.962,5B40Td13cDQ4adeAiLf8Z4,148855,4
0.855,0.603,0,-5.488,1,0.284,0.0392,0.0,0.105,0.494,129.976,6yDPFrHZLQbQa9Itd2J4Gp,206769,4
0.679,0.769,0,-3.539,1,0.24,0.0537,0.0,0.309,0.424,130.094,3fNMgjG8yXaSam46swhz7w,177231,4
0.765,0.882,1,-3.392,1,0.414,0.0432,0.0,0.353,0.439,166.784,5c2IvJeaFx4m2DmOR1iryD,140573,4
0.703,0.636,1,-8.652,0,0.177,0.338,0.0,0.0981,0.496,132.986,6DswwzQlABrNoqjNydtvuX,144594,4
0.519,0.766,2,-6.519,1,0.345,0.0906,0.0,0.287,0.449,100.281,4EvFzNPsp8iyiEO9LDHopv,128000,3
0.799,0.733,2,-6.234,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,7k5lDslyLbcykzUOPGEdKR,185280,4
0.912,0.507,2,-11.952,1,0.0587,0.579,0.0,0.167,0.725,134.978,3RKjTYlQrtLXCq5ncswBPp,115556,4
0.84,0.63,11,-5.671,0,0.0579,0.000502,0.00136,0.128,0.14,123.994,5R5UNKWsmMPpFq5JHK93Fw,240968,4
0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,53acd3PVcgGCux58YABBr5,195254,4
0.763,0.726,1,-5.61,1,0.109,0.00377,0.0,0.0719,0.327,99.042,6aGpM4DXts4pdRhVKbRYuk,131053,4
0.839,0.642,1,-5.581,1,0.0535,0.0431,6.76e-05,0.148,0.211,140.078,65nmqAEqW7CJIkXOIkxyg8,180760,4
0.611,0.554,8,-8.122,1,0.064,0.0339,0.00418,0.183,0.233,95.375,21wkixaulehrFctAvEhvQl,191758,4
0.857,0.524,1,-11.931,1,0.279,0.0255,0.0,0.336,0.379,137.943,4ZyivnzrvDWRjihgqxvXK8,170435,4
0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,6clDsO8HwhHEgJDDp88VdL,152372,4
0.767,0.628,4,-7.41,0,0.242,0.21,8.79e-06,0.275,0.798,128.07,6IyoLWzljeR3ldQo4KWHT6,150242,4
0.894,0.633,10,-5.294,0,0.298,0.0369,0.0,0.178,0.578,145.11,4lxTmHPgoRWwM9QisWobJL,145655,4
0.821,0.501,0,-8.27,0,0.0471,0.194,1.71e-05,0.109,0.385,124.966,46DB28jumopDyMuYhjoydV,230533,4
0.806,0.542,0,-7.482,0,0.064,0.241,0.000494,0.113,0.14,142.881,4CCrZzRdeWYrWJ0DoN4XCa,194306,4
0.675,0.726,2,-6.459,1,0.0461,0.105,0.0,0.153,0.671,124.872,6HBRLaSQ7NB8MNlaqzYen1,186791,4
0.618,0.75,7,-4.608,1,0.0287,0.00799,0.0,0.141,0.619,123.885,4qbibbQ1yK0rPl0JUJS0bz,196890,4
0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,6Tm4Io4ct4w14nB1EUzsY3,183790,4
0.436,0.434,10,-7.153,1,0.0502,0.679,0.0,0.419,0.447,117.836,2fBvSCdG3lDjImqJvnYtvq,177920,4
0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,3qXsX3mYSsD1DmAvc3PE3N,229627,4
0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,99.945,1brnLTvarI9D1hLP6z2Ar8,174560,4
0.655,0.869,7,-4.807,1,0.0633,0.00408,0.0,0.104,0.541,114.984,6Z1bV93BP95h4YjIavrQPf,179645,4
0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3fl4zil6HJ0N1FL3YIRwdC,223120,3
0.602,0.892,11,-4.394,1,0.0333,0.0425,1.03e-06,0.172,0.709,114.034,3sT4lmGZF9Gy6XaLYvwH7A,162842,4
0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,4686eQ81DEswHa90bcdlC9,207541,3
0.623,0.874,10,-3.058,1,0.0329,0.00714,0.0,0.143,0.961,109.97,5wtPc1OQ7g1H8FBkwWqbhh,194267,4
0.655,0.617,0,-4.716,1,0.026,0.0998,0.0,0.211,0.734,90.015,3nei8eHEdiwwSfyoOCHPZI,174173,4
0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,5kB6WithhB8Iv08EMNmAbt,172480,4
0.625,0.727,1,-4.532,1,0.0378,0.0985,0.0,0.101,0.654,146.154,5b4n4Lp2ZAPDGO9nQM5IHR,176618,4
0.459,0.682,8,-4.235,1,0.0464,0.167,0.0,0.11,0.887,201.831,2DPqR0kuZVjrOF5oxIRYPy,155120,4
0.516,0.752,7,-5.09,1,0.0333,0.00528,3.78e-05,0.251,0.482,105.007,4aSRUXfKuBbmje0eXNukuL,171880,4
0.485,0.645,0,-4.367,1,0.0274,0.00478,0.0,0.24,0.705,82.93,1xk2TQgJNtH3FErgICPgmb,174193,4
0.628,0.833,0,-6.327,1,0.0311,0.0014,0.0,0.104,0.309,98.025,6Awl7JBDQjfm7xkS3LkhDi,203680,4
0.623,0.466,11,-7.6,1,0.0265,0.0421,1.45e-06,0.0996,0.272,81.98,5Jwcv2Le3Klwgrgyqa12ZA,225813,3
0.522,0.801,5,-5.424,1,0.1,0.224,0.0,0.301,0.491,155.928,6kCFt2ATuMIE5H9zVEJXei,189307,3
0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,5ZCjp56T8J6d7amJyFSzrI,199040,4
0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,5AihIu9yF3flkw1jFMyfwW,221520,4
0.639,0.713,5,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,7ETjhPaIU4UmHOiimJBZz9,161200,4
0.58,0.881,4,-3.004,1,0.042,0.0508,0.0,0.106,0.384,76.989,2DvOwcQd7RB5IV7MdlwpvN,183413,4
0.635,0.866,5,-2.695,1,0.0473,0.0697,0.0,0.0955,0.853,133.889,4viFAHmivkYQKkwLvwKOgg,169760,4
0.646,0.598,3,-10.293,1,0.0425,0.73,5.87e-06,0.118,0.606,80.993,57YkkgxAiusJPMtiSG3w3c,195587,4
0.628,0.632,9,-5.932,1,0.0325,0.257,0.0,0.288,0.559,137.854,5OLaVCAM2pqg7X9mAM2W8M,191227,4
0.674,0.873,1,-4.256,1,0.0285,0.0482,0.0,0.18,0.946,115.01,4iy69rTUn8cAY8Q8q9vfOw,167760,4
0.61,0.868,1,-4.098,0,0.0351,0.0401,0.0,0.121,0.765,137.943,0isqpzdmr2hsKb50uBSCdo,210813,4
0.359,0.579,4,-5.752,1,0.0282,0.434,0.0,0.104,0.274,89.721,0EAzZ4aKlERuRmAYIXcRX6,185731,4
0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,6KGtAlYvgm4W9PoYabFAYE,206865,4
0.516,0.867,1,-3.139,1,0.0328,0.0237,0.0,0.106,0.615,166.031,1pbUfl4W9KtQ5hNkT6RiXp,166301,4
0.723,0.633,6,-6.982,1,0.0332,0.0551,1.93e-05,0.0665,0.498,112.022,6BWOWBSalJEp7woRZSyiMb,211227,4
0.554,0.809,0,-4.893,1,0.039,0.00481,0.00156,0.111,0.462,159.989,16Sdmdt7jpibASwEsO0s9j,211933,4
0.517,0.901,4,-3.51,1,0.039,0.234,0.0,0.317,0.567,150.033,1116cRlf1zVJXVI2fUUwFD,200400,4
0.739,0.72,4,-6.695,1,0.026,0.0379,0.00267,0.23,0.892,102.997,3knS4WXNNRBd3zkx2v78cx,187640,4
0.676,0.856,11,-4.35,1,0.0393,0.454,0.0,0.141,0.965,144.092,1jX9wlAgVkAl0fCZqkCI73,166036,4
0.534,0.466,6,-6.98,1,0.0272,0.277,0.0,0.0979,0.23,140.0,7trjNYF5ek7zX4GKSHQZbP,277660,4
0.524,0.923,7,-3.53,1,0.085,0.00958,0.0,0.102,0.318,149.972,4oGCfTHN1hmXGy5mqmJVc3,183573,4
0.528,0.711,1,-5.494,1,0.0326,0.0168,0.0,0.13,0.0873,157.99,4cF4vuC7Ci29yhnbuoFRZx,189278,4
0.588,0.931,6,-3.925,1,0.0318,0.00411,0.0,0.345,0.625,105.027,6Qpfsw8OS5HW5XxgmXYLWS,219333,4
0.796,0.621,2,-6.129,1,0.0346,0.175,0.0,0.274,0.808,121.904,3zAOcNGOFq5Q1OsN0tcxA0,151973,4
0.489,0.88,0,-3.459,1,0.0444,0.000403,0.0,0.514,0.544,135.882,1JJGASeJlXOH7NcO6JuKO1,169800,4
0.667,0.826,4,-3.412,1,0.0266,0.0979,0.0,0.151,0.665,112.041,2hsarLx1u2OgOmkcJ8ejBm,156906,4
0.476,0.818,6,-4.259,0,0.0388,0.17,1.24e-05,0.13,0.626,144.131,418ve8CTLM3XbeGWSq8fA6,218213,4
0.536,0.605,7,-5.292,1,0.0338,0.141,0.0,0.0614,0.341,130.053,4QWXSTeUHFzU0INh7SNqSU,196163,4
0.607,0.757,2,-6.778,1,0.0601,0.0107,0.0,0.158,0.662,164.096,1KHCFA1Wb1MYQi4WQIYqrm,192053,4
0.521,0.833,8,-6.992,1,0.0313,0.0906,3.13e-06,0.0647,0.581,141.944,5JLf54f83nJrxD4IhFaLl7,224985,4
0.913,0.584,9,-5.263,1,0.223,0.521,5.36e-05,0.307,0.627,119.873,2xVcCDRgG3TrH69TatsUxp,174370,4
0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,6Rpbzk2LC8xWZI93RyodAq,196600,4
0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,2oiixB9QMIzhWaHGVlQx4g,216148,4
0.793,0.78,1,-4.247,0,0.249,0.341,0.0,0.111,0.576,178.046,3Zyk5Vd9WNPNVWxvb0EZTk,203360,4
0.713,0.703,8,-5.769,1,0.194,0.298,0.0,0.321,0.576,123.06,5MxFWjuqQIsbNWbMdMdbli,255693,4
0.537,0.602,7,-4.631,1,0.0458,0.296,0.0,0.0715,0.753,157.437,0mzsLrUNazBaRfYZfjmpSV,271862,4
0.743,0.831,8,-4.042,0,0.0584,0.114,6.43e-05,0.35,0.609,95.975,0CYTGMBYkwUxrj1MWDLrC5,168133,4
0.951,0.692,5,-4.038,0,0.312,0.472,0.000182,0.0894,0.431,115.047,6WbAhuwE6fCOriBu5786X1,201280,4
0.758,0.888,1,-2.851,1,0.0706,0.34,0.00139,0.144,0.408,107.039,0fADaWdT3obxk7zvHS18VY,197383,4
0.574,0.925,8,-3.729,0,0.0648,0.407,0.0,0.259,0.905,95.738,5Fh9fyHRnSwKLo4asG6fEX,267017,4
0.751,0.761,11,-4.113,0,0.15,0.251,0.000238,0.0991,0.553,92.032,0oBtwScT4B4BR5kZitNWd5,151325,4
0.676,0.858,0,-2.636,1,0.0467,0.0354,0.0,0.211,0.67,139.998,2oW52tBeJNSv93Ct5AJb8q,161173,4
0.869,0.74,5,-4.699,0,0.108,0.649,7.95e-06,0.135,0.598,117.949,2caVKAWz7oM5Hw3LDWWVnQ,206499,4
0.892,0.662,8,-3.894,1,0.162,0.169,1.24e-06,0.363,0.607,93.976,54ELExv56KCAB4UP9cOCzC,227013,4
0.707,0.611,7,-5.798,1,0.0424,0.395,3.18e-06,0.11,0.416,93.004,6P7Baz3uteblV2zklm39BC,176222,4
0.838,0.79,6,-1.602,0,0.108,0.431,3.33e-06,0.184,0.962,92.927,1DxEbt6OSbrkRthk6pjZue,161452,4
0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,2tTmW7RDtMQtBk7m2rYeSw,198938,4
0.724,0.631,4,-4.42,0,0.0686,0.249,0.0,0.213,0.957,176.076,0Iozrbed8spxoBnmtBMshO,160909,4
0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,2mpoNBkngUEwnaKoBhZ0vl,184066,3
0.733,0.822,8,-3.842,0,0.077,0.0308,0.0,0.101,0.348,122.005,2ypbIXW3a7fsLdLtLpZWDZ,188784,4
0.781,0.662,0,-3.825,1,0.0336,0.355,0.0,0.161,0.686,91.999,40vzZFWG1h60TdZPuxuX3Y,197477,4
0.765,0.872,1,-5.863,1,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,0NO2zL0kw8sGGnaMvHKAZF,237474,4
0.806,0.83,7,-3.767,0,0.0981,0.117,0.0,0.101,0.663,81.01,1j4yhkxSCEDmiLVKjpYKWq,217255,4
0.799,0.775,11,-5.869,1,0.077,0.0308,0.00526,0.309,0.605,95.027,35ns1WEurw3MVlHJjHwNWQ,296907,4
0.739,0.682,9,-5.121,0,0.0972,0.417,3.95e-05,0.105,0.476,94.048,5S8i9p2xS8M8pFqfZMbMzI,186723,4
0.803,0.818,4,-3.232,0,0.066,0.149,0.00471,0.0653,0.82,90.999,3QWCxOv2YharMus6KbfiPJ,149471,4
0.827,0.544,11,-7.225,1,0.158,0.308,0.0,0.438,0.728,164.999,13FHy6nHjXHbzHj1dZFB1G,134000,4
0.872,0.681,0,-4.348,0,0.11,0.0462,1.38e-05,0.129,0.481,96.986,4EQOGfssbSpTlV6EZRtrSv,188009,4
0.491,0.643,10,-4.309,1,0.0442,0.187,0.0,0.109,0.779,162.469,6Um358vY92UBv5DloTRX9L,169419,4
0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,6OzUIp8KjuwxJnCWkXp1uL,229065,4
0.681,0.711,10,-4.79,0,0.0846,0.0278,0.0,0.312,0.826,89.89,1PAvhqefivTNdxZ4u8RT1d,156319,4
0.756,0.735,7,-6.178,1,0.0668,0.692,0.0,0.0715,0.558,92.028,3HMlb6Dh9OGr3CjV6IwjEP,193125,4
0.531,0.58,5,-4.688,0,0.188,0.0984,0.000201,0.101,0.887,169.865,0Dl34Kegtc0y0m0oPhQfiI,151988,4
0.873,0.826,0,-0.722,1,0.0876,0.00127,0.0361,0.311,0.201,106.972,2TDyyEBasw10wu5Uh94bR1,190654,4
0.816,0.77,1,-5.477,1,0.0538,0.0798,0.0,0.118,0.671,96.99,5NxhMcHSVY3Z7ykWxZf3aj,230653,4
0.711,0.711,5,-6.243,1,0.406,0.102,0.0,0.138,0.663,173.945,7EyGZtJuOckQfMDJL1PPrH,169560,4
0.765,0.624,7,-4.932,1,0.0929,0.325,0.0,0.104,0.277,92.984,4dLIAE3xbJLoiIBbKkZWJk,189080,4
0.813,0.772,0,-4.921,1,0.117,0.121,0.0,0.0886,0.443,119.99,0rvbMTIWwMZaMC9UnubDPb,190745,4
0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,6TBzRwnX2oYd8aOrOuyK1p,224921,4
0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,1lRtH4FszTrwwlK5gTSbXO,174943,3
0.87,0.55,5,-5.537,1,0.0722,0.102,0.0,0.293,0.566,95.019,3kUq4sBcmxhnOtNysZ9yrp,156400,4
0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,5Eax0qFko2dh7Rl2lYs3bx,213061,4
0.406,0.418,9,-6.302,0,0.0366,0.551,0.0,0.0737,0.468,126.264,1caKQ2Nqtr1eoczaB83cUz,144428,4
0.829,0.747,7,-3.511,1,0.149,0.276,0.0,0.339,0.576,98.03,2X8AGLwb9F0JzJ9zT27a22,191607,4
0.726,0.544,2,-4.44,1,0.229,0.44,3.56e-05,0.124,0.613,178.117,3LWay44eeYFEh27Gf1UA7J,204827,4
0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,2K9kZpwD2CzTa6iiSYYOoO,166775,4
0.889,0.6,9,-10.603,1,0.144,0.0145,0.0,0.08,0.501,123.978,4wteGC0HtLeZWjDcczc4Pw,126774,4
0.416,0.248,10,-14.62,1,0.14,0.647,0.427,0.113,0.134,161.667,1wTopxO5eQBpxrBXPSbsUn,433916,4
0.792,0.874,1,-2.966,1,0.0852,0.0158,0.000365,0.071,0.934,113.969,1JUtrCqYzJ80tcAzMbCvir,186762,4
0.571,0.761,5,-3.485,1,0.0261,0.0708,0.0,0.331,0.681,91.991,1yHVHoz6Ny29gbbWJYVnFt,186043,4
0.783,0.504,5,-5.349,0,0.124,0.202,0.0,0.854,0.334,126.009,2JIY6nN5kkkfNz0TckPqYu,242150,4
0.681,0.626,0,-5.41,1,0.0365,0.00887,5.56e-06,0.0791,0.676,128.036,7rS4oy2qpJNULQAVgJQTun,182085,4
0.657,0.66,1,-8.457,1,0.0538,0.133,0.00586,0.137,0.419,118.984,2x8zUjRP6z5N2GmZ13zU76,177500,4
0.62,0.409,1,-10.146,1,0.0282,0.77,0.0542,0.105,0.582,113.946,3iBgrkexCzVuPy4O9vx7Mf,135067,3
