danceability,tempo,energy,valence,mode,id,cluster
0.884,95.753,0.423,0.259,0,5JS1gz9zP4GTy0LZYvSeUK,13
0.785,83.962,0.609,0.326,0,5B40Td13cDQ4adeAiLf8Z4,13
0.855,129.976,0.603,0.494,1,6yDPFrHZLQbQa9Itd2J4Gp,0
0.679,130.094,0.769,0.424,1,3fNMgjG8yXaSam46swhz7w,0
0.765,166.784,0.882,0.439,1,5c2IvJeaFx4m2DmOR1iryD,10
0.703,132.986,0.636,0.496,0,6DswwzQlABrNoqjNydtvuX,13
0.519,100.281,0.766,0.449,1,4EvFzNPsp8iyiEO9LDHopv,6
0.799,146.051,0.733,0.753,1,7k5lDslyLbcykzUOPGEdKR,12
0.912,134.978,0.507,0.725,1,3RKjTYlQrtLXCq5ncswBPp,12
0.84,123.994,0.63,0.14,0,5R5UNKWsmMPpFq5JHK93Fw,13
0.94,118.027,0.761,0.414,1,53acd3PVcgGCux58YABBr5,0
0.763,99.042,0.726,0.327,1,6aGpM4DXts4pdRhVKbRYuk,0
0.839,140.078,0.642,0.211,1,65nmqAEqW7CJIkXOIkxyg8,0
0.611,95.375,0.554,0.233,1,21wkixaulehrFctAvEhvQl,5
0.857,137.943,0.524,0.379,1,4ZyivnzrvDWRjihgqxvXK8,0
0.603,87.99,0.546,0.667,0,6clDsO8HwhHEgJDDp88VdL,1
0.767,128.07,0.628,0.798,0,6IyoLWzljeR3ldQo4KWHT6,4
0.894,145.11,0.633,0.578,0,4lxTmHPgoRWwM9QisWobJL,4
0.821,124.966,0.501,0.385,0,46DB28jumopDyMuYhjoydV,13
0.806,142.881,0.542,0.14,0,4CCrZzRdeWYrWJ0DoN4XCa,13
0.675,124.872,0.726,0.671,1,6HBRLaSQ7NB8MNlaqzYen1,12
0.618,123.885,0.75,0.619,1,4qbibbQ1yK0rPl0JUJS0bz,12
0.479,110.024,0.768,0.576,1,6Tm4Io4ct4w14nB1EUzsY3,6
0.436,117.836,0.434,0.447,1,2fBvSCdG3lDjImqJvnYtvq,5
0.532,139.807,0.489,0.32,1,3qXsX3mYSsD1DmAvc3PE3N,0
0.738,99.945,0.455,0.441,1,1brnLTvarI9D1hLP6z2Ar8,5
0.655,114.984,0.869,0.541,1,6Z1bV93BP95h4YjIavrQPf,12
0.38,156.031,0.488,0.268,1,3fl4zil6HJ0N1FL3YIRwdC,8
0.602,114.034,0.892,0.709,1,3sT4lmGZF9Gy6XaLYvwH7A,12
0.582,121.991,0.568,0.394,1,4686eQ81DEswHa90bcdlC9,0
0.623,109.97,0.874,0.961,1,5wtPc1OQ7g1H8FBkwWqbhh,12
0.655,90.015,0.617,0.734,1,3nei8eHEdiwwSfyoOCHPZI,12
0.645,118.977,0.8,0.375,1,5kB6WithhB8Iv08EMNmAbt,0
0.625,146.154,0.727,0.654,1,5b4n4Lp2ZAPDGO9nQM5IHR,10
0.459,201.831,0.682,0.887,1,2DPqR0kuZVjrOF5oxIRYPy,10
0.516,105.007,0.752,0.482,1,4aSRUXfKuBbmje0eXNukuL,6
0.485,82.93,0.645,0.705,1,1xk2TQgJNtH3FErgICPgmb,6
0.628,98.025,0.833,0.309,1,6Awl7JBDQjfm7xkS3LkhDi,6
0.623,81.98,0.466,0.272,1,5Jwcv2Le3Klwgrgyqa12ZA,5
0.522,155.928,0.801,0.491,1,6kCFt2ATuMIE5H9zVEJXei,10
0.587,139.974,0.632,0.392,1,5ZCjp56T8J6d7amJyFSzrI,0
0.4,84.08,0.647,0.274,1,5AihIu9yF3flkw1jFMyfwW,6
0.639,86.1,0.713,0.717,0,7ETjhPaIU4UmHOiimJBZz9,4
0.58,76.989,0.881,0.384,1,2DvOwcQd7RB5IV7MdlwpvN,6
0.635,133.889,0.866,0.853,1,4viFAHmivkYQKkwLvwKOgg,12
0.646,80.993,0.598,0.606,1,57YkkgxAiusJPMtiSG3w3c,5
0.628,137.854,0.632,0.559,1,5OLaVCAM2pqg7X9mAM2W8M,10
0.674,115.01,0.873,0.946,1,4iy69rTUn8cAY8Q8q9vfOw,12
0.61,137.943,0.868,0.765,0,0isqpzdmr2hsKb50uBSCdo,11
0.359,89.721,0.579,0.274,1,0EAzZ4aKlERuRmAYIXcRX6,6
0.614,141.982,0.913,0.92,1,6KGtAlYvgm4W9PoYabFAYE,10
